Model,Accuracy,Precision,Recall,F1-Score
ResNet50,0.9213333333333333,0.921997344272538,0.9213333333333333,0.9211225518162739
MobileNetV3,0.9206666666666666,0.9206194252551396,0.9206666666666666,0.9203195510276089
DenseNet121,0.919,0.9190227646493725,0.919,0.9189529560817075
InceptionV3,0.8823333333333333,0.8847325103870741,0.8823333333333333,0.8825561505033438
VGG16,0.8556666666666667,0.8560031767143665,0.8556666666666667,0.8555213836974607
SwinTransformer,0.09233333333333334,0.08983280089594206,0.09233333333333334,0.08349851890382005
